feature,score
rx148,2150
rx363,1863
rx193,1711
rx944,1661
rx2,1646
rx606,1557
rx767,1550
rx951,1534
rx189,1529
rx791,1515
rx29,1501
rx368,1476
rx407,1423
rx412,1404
rx554,1381
rx6,1356
rx352,1348
rx114,1347
rx995,1338
rx175,1330
rx735,1312
rx227,1291
rx137,1287
rx53,1283
rx404,1280
rx367,1271
rx138,1271
rx226,1221
rx486,1182
rx171,1148
rx82,1140
rx58,1138
rx135,1126
rx42,1113
rx940,1110
rx172,1105
rx999,1092
rx11,1077
rx235,1065
rx879,1043
rx552,1032
rx422,1031
rx941,1025
rx145,1001
rx200,996
rx192,994
rx346,992
rx490,982
rx159,965
rx212,965
rx115,963
rx191,951
rx236,947
rx357,940
rx99,940
rx406,939
rx10,933
rx433,930
rx161,924
rx162,922
rx96,908
rx1024,901
rx37,900
rx72,891
rx829,887
rx398,884
rx107,882
rx952,880
rx178,877
rx168,876
rx204,873
rx494,867
rx149,860
rx234,860
rx65,859
rx392,852
rx336,851
rx364,848
rx591,844
rx125,843
rx356,836
rx120,835
rx190,833
rx39,829
rx210,827
rx359,822
rx305,822
rx482,805
rx101,788
rx218,785
rx950,784
rx737,783
rx55,783
rx428,780
rx778,779
rx43,779
rx689,779
rx772,778
rx27,774
rx592,766
rx551,764
rx95,762
rx205,759
rx41,755
rx358,754
rx295,754
rx211,744
rx943,744
rx142,744
rx8,744
rx121,743
rx738,738
rx110,733
rx607,733
rx83,728
rx134,728
rx98,727
rx462,724
rx38,719
rx424,714
rx16,711
rx645,709
rx769,702
rx395,701
rx28,695
rx362,695
rx130,690
rx578,688
rx559,684
rx329,684
rx21,681
rx26,677
rx119,676
rx953,675
rx958,671
rx18,669
rx93,668
rx208,667
rx94,662
rx50,658
rx584,657
rx40,648
rx914,645
rx51,644
rx458,643
rx76,640
rx113,640
rx9,636
rx35,633
rx79,630
rx966,630
rx959,629
rx30,629
rx3,627
rx169,626
rx13,624
rx109,623
rx239,621
rx409,620
rx158,615
rx365,614
rx92,613
rx298,613
rx100,613
rx112,610
rx165,609
rx195,608
rx70,607
rx730,606
rx323,605
rx31,604
rx222,601
rx228,595
rx223,595
rx583,592
rx123,591
rx383,588
rx418,587
rx292,585
rx229,580
rx140,580
rx413,578
rx342,576
rx132,576
rx230,575
rx1,573
rx185,572
rx700,572
rx956,571
rx118,571
rx180,570
rx1018,568
rx481,567
rx136,566
rx14,564
rx942,562
rx44,561
rx828,560
rx757,556
rx347,555
rx71,554
rx564,553
rx681,552
rx179,550
rx284,549
rx150,548
rx986,547
rx126,545
rx199,545
rx163,544
rx181,544
rx52,541
rx293,541
rx206,541
rx878,539
rx231,537
rx146,537
rx240,536
rx366,534
rx84,528
rx88,528
rx852,526
rx678,523
rx353,519
rx60,519
rx435,519
rx361,518
rx337,516
rx957,515
rx729,515
rx382,513
rx286,513
rx873,511
rx246,511
rx183,510
rx568,508
rx19,507
rx156,507
rx289,506
rx74,501
rx25,501
rx396,501
rx864,501
rx81,501
rx122,499
rx400,499
rx4,498
rx963,496
rx167,495
rx483,495
rx1026,495
rx771,494
rx106,493
rx128,491
rx133,491
rx111,490
rx147,489
rx842,484
rx304,483
rx237,483
rx476,483
rx68,483
rx176,481
rx164,481
rx434,481
rx373,476
rx62,473
rx748,473
rx506,468
rx131,468
rx421,466
rx57,460
rx549,459
rx556,458
rx153,457
rx59,457
rx252,456
rx233,456
rx961,454
rx734,452
rx66,451
rx348,450
rx947,449
rx856,449
rx24,449
rx257,448
rx157,448
rx22,447
rx219,447
rx254,445
rx548,444
rx294,444
rx141,444
rx209,442
rx866,441
rx1055,440
rx36,440
rx203,439
rx270,439
rx241,438
rx20,437
rx143,437
rx558,435
rx173,434
rx764,433
rx430,433
rx215,433
rx967,431
rx780,425
rx306,424
rx471,424
rx89,424
rx605,423
rx154,421
rx77,420
rx46,420
rx124,415
rx477,415
rx820,414
rx397,413
rx91,411
rx216,411
rx781,410
rx557,409
