feature,score,max,min,n_null,type
x148,1931,,,19,numeric
x363,1828,,,0,numeric
x193,1631,,,19,numeric
x944,1586,,,285,numeric
x2,1562,,,19,numeric
x791,1525,,,19,numeric
x606,1492,,,19,numeric
x189,1489,,,19,numeric
x29,1422,,,83,numeric
x412,1421,,,19,numeric
x951,1411,,,138,numeric
x767,1401,,,19,numeric
x368,1367,,,92,numeric
x53,1293,,,92,numeric
x404,1284,,,19,numeric
x367,1278,,,92,numeric
x407,1270,,,19,numeric
x6,1266,,,19,numeric
x554,1246,,,667,numeric
x352,1234,,,0,numeric
x735,1225,,,19,numeric
x138,1198,,,83,numeric
x995,1192,,,19,numeric
x137,1180,,,83,numeric
x175,1171,,,19,numeric
x58,1150,,,83,numeric
x226,1139,,,19,numeric
x227,1131,,,19,numeric
x42,1115,,,19,numeric
x82,1112,,,92,numeric
x114,1101,,,19,numeric
x171,1094,,,19,numeric
x486,1093,,,20,numeric
x940,1092,,,285,numeric
x172,1085,,,19,numeric
x135,1028,,,83,numeric
x162,1018,,,131,numeric
x11,1006,,,19,numeric
x406,1002,,,19,numeric
x999,998,,,19,numeric
x552,982,,,41,numeric
x879,977,,,19,numeric
x417,947,,,0,category
x433,939,,,52,numeric
x346,934,,,0,numeric
x422,926,,,19,numeric
x235,922,,,92,numeric
x212,917,,,131,numeric
x145,910,,,19,numeric
x490,905,,,19,numeric
x192,898,,,19,numeric
x96,893,,,83,numeric
x941,890,,,285,numeric
x159,880,,,92,numeric
x357,871,,,160,numeric
x829,869,,,19,numeric
x99,869,,,130,numeric
x115,868,,,19,numeric
x236,865,,,131,numeric
x591,864,,,19,numeric
x200,858,,,19,numeric
x191,854,,,19,numeric
x107,845,,,19,numeric
x65,835,,,130,numeric
x10,830,,,19,numeric
x234,828,,,92,numeric
x398,823,,,22,numeric
x204,822,,,92,numeric
x149,811,,,19,numeric
x494,808,,,19,numeric
x120,804,,,92,numeric
x110,801,,,19,numeric
x37,784,,,19,numeric
x359,783,,,0,numeric
x336,781,,,7095,numeric
x210,781,,,92,numeric
x161,775,,,131,numeric
x72,774,,,19,numeric
x39,773,,,19,numeric
x356,768,,,0,numeric
x101,759,,,130,numeric
x950,757,,,161,numeric
x1024,753,,,19,numeric
x392,751,,,19,numeric
x178,751,,,92,numeric
x125,745,,,131,numeric
x305,744,,,19,numeric
x943,744,,,285,numeric
x952,743,,,206,numeric
x737,740,,,19,numeric
x168,740,,,19,numeric
x358,735,,,0,numeric
x98,731,,,130,numeric
x607,728,,,19,numeric
x8,728,,,19,numeric
x142,722,,,130,numeric
x772,721,,,19,numeric
x295,717,,,19,numeric
x27,714,,,83,numeric
x424,713,,,19,numeric
x55,708,,,131,numeric
x211,703,,,131,numeric
x428,703,,,52,numeric
x592,700,,,19,numeric
x778,694,,,19,numeric
x40,694,,,19,numeric
x190,692,,,19,numeric
x218,690,,,131,numeric
x559,687,,,19,numeric
x738,686,,,19,numeric
x362,685,,,0,numeric
x205,684,,,92,numeric
x38,683,,,19,numeric
x43,682,,,19,numeric
x94,675,,,83,numeric
x41,675,,,19,numeric
x364,673,,,92,numeric
